,userId,is_active
0,199435,0
1,2366612,0
2,854252,1
3,1056622,1
4,2162734,0
5,1077254,0
6,2586076,0
7,385908,0
8,2257189,0
9,13175,0
10,2580300,0
11,273641,0
12,513591,0
13,720958,0
14,756493,0
15,720107,0
16,865027,0
17,2137052,0
18,1707563,0
19,292041,1
20,2455019,0
21,1929371,0
22,1206288,0
23,830219,1
24,940516,0
25,122830,0
26,2562858,0
27,980350,1
28,1968074,0
29,2368686,0
30,905707,0
31,1265145,0
32,2605003,0
33,728171,0
34,2320450,0
35,697254,0
36,2635157,1
37,2606853,0
38,407525,0
39,1542255,0
40,390932,0
41,941190,0
42,871511,1
43,432830,0
44,812880,0
45,1172980,0
46,1670187,0
47,1277946,0
48,1288668,1
49,2609746,0
50,379411,0
51,753337,1
52,1615399,0
53,2088489,0
54,2554035,0
55,645522,0
56,168729,0
57,1621533,0
58,940418,0
59,2397825,0
60,1701785,1
61,2094123,1
62,2267187,0
63,605128,0
64,1921656,1
65,2381591,0
66,1349998,0
67,2353831,0
68,2044864,1
69,132822,0
70,1094027,0
71,1004396,0
72,1242004,0
73,1429068,0
74,460446,0
75,1354470,0
76,766998,0
77,2195086,0
78,2637755,0
79,973853,0
80,1541592,0
81,2068409,0
82,1051109,0
83,1441622,0
84,1155478,1
85,2163169,0
86,2015154,1
87,934990,0
88,2181532,0
89,2463512,0
90,425617,1
91,2561905,1
92,920065,0
93,2294864,0
94,979926,0
95,1253459,1
96,1508039,1
97,1445127,0
98,327402,0
99,1571213,0
100,2135590,0
101,397815,0
102,230882,0
103,2288254,0
104,1837730,0
105,2619295,1
106,1960133,0
107,86902,1
108,700409,0
109,955050,0
110,754846,0
111,2280081,0
112,758781,1
113,183959,0
114,1704416,0
115,1216965,1
116,1303703,0
117,1624455,0
118,1819123,0
119,2647713,0
120,1472484,0
121,823628,0
122,85419,0
123,2066735,0
124,962600,0
125,1500014,0
126,427804,1
127,2449838,0
128,1008130,0
129,1323821,0
130,203652,0
131,606271,0
132,1481644,1
133,1701453,0
134,2579306,0
135,1133932,1
136,1622596,0
137,2204475,0
138,986524,0
139,1668365,0
140,2203392,0
141,1580125,0
142,2603646,0
143,561194,1
144,264290,0
145,202039,0
146,1135374,0
147,1744381,0
148,2179125,0
149,695238,0
150,569082,1
151,1759950,0
152,1983562,0
153,356128,1
154,1782022,0
155,1759632,1
156,132552,1
157,732907,0
158,1595291,1
159,1684428,0
160,2148899,0
161,1620868,1
162,2545739,0
163,1624441,0
164,1213318,0
165,565710,0
166,1510980,1
167,2627360,1
168,2249223,1
169,1011593,0
170,2128443,0
171,2356119,0
172,1764037,1
173,153202,0
174,919028,0
175,1329642,0
176,850983,0
177,1302280,1
178,845817,1
179,1715942,0
180,2410720,0
181,1966004,0
182,1659116,0
183,164532,0
184,1733611,0
185,2583202,0
186,1092280,0
187,1491448,1
188,1867907,0
189,1527343,1
190,1500558,1
191,698472,1
192,977551,0
193,841471,1
194,1778061,1
195,48113,1
196,2114592,0
197,798296,0
198,1787635,0
199,2251669,0
200,2646994,1
201,2024885,0
202,281598,0
203,1336371,0
204,2258923,0
205,434738,0
206,1196169,0
207,919510,0
208,1160577,0
209,1730699,0
210,2507919,0
211,1125733,0
212,1954275,0
213,2215947,1
214,966669,0
215,1439351,0
216,781622,0
217,2460653,0
218,1014412,0
219,76444,0
220,458095,1
221,2072249,1
222,1259928,1
223,2026834,0
224,326453,1
225,1165284,1
226,444810,1
227,2430950,0
228,329670,0
229,2341610,0
230,233102,0
231,608896,0
232,947309,1
233,654972,0
234,2581970,0
235,903080,1
236,367238,0
237,96996,0
238,2540366,0
239,1241067,1
240,374459,0
241,131257,1
242,867044,0
243,905922,0
244,613875,0
245,2460127,0
246,178803,0
247,1183758,0
248,165977,0
249,1243537,0
250,1134651,0
251,2267082,1
252,1870703,0
253,2275251,0
254,1204226,0
255,762320,0
256,2465313,0
257,2393743,1
258,2376428,0
259,894448,0
260,86182,1
261,1884497,0
262,2298174,1
263,1221608,1
264,825965,0
265,704063,1
266,898944,0
267,2626004,1
268,1600659,0
269,2266083,0
270,1282786,0
271,878576,0
272,152063,0
273,2490130,0
274,1274824,1
275,862067,1
276,1238044,0
277,1392450,0
278,349375,1
279,1709332,0
280,310529,1
281,1284607,0
282,165247,0
283,1003703,0
284,2439110,1
285,1567202,0
286,139358,0
287,2221791,0
288,325073,0
289,647236,0
290,1758059,0
291,2047202,1
292,2536028,0
293,357448,0
294,1310268,0
295,1503368,0
296,2166800,0
297,1383811,0
298,877574,0
299,277226,1
300,836069,1
301,1426178,0
302,55339,0
303,2045827,0
304,251012,1
305,818724,0
306,1376999,0
307,240401,1
308,287212,0
309,322451,0
310,999362,1
311,2429983,0
312,230562,0
313,1351706,0
314,1877790,0
315,1224545,1
316,86890,1
317,876703,0
318,1129049,0
319,2121285,0
320,1108754,1
321,2446234,1
322,858941,0
323,52664,0
324,1702394,0
325,447846,0
326,1266375,0
327,518079,0
328,1573865,1
329,1674731,0
330,1050494,0
331,444791,0
332,1779424,0
333,912261,0
334,1763199,0
335,48326,0
336,339066,0
337,1906808,0
338,1301583,0
339,928878,0
340,335030,0
341,2159010,0
342,259931,0
343,925485,0
